Date,Sales,Product,Category,Region,Quantity,Discount,Unit Price
2022-01-12,157.9,T-Shirt,Clothing,West,3,0.3,93.7
2022-01-12,415.92,Tennis Racket,Sports,West,10,0.3,86.79
2022-01-12,367.57,Running Shoes,Sports,South,8,0.05,62.7
2022-01-12,221.55,Lamp,Home & Kitchen,West,4,0,74.36
2022-01-12,375.56,Jacket,Clothing,East,6,0,100.3
2022-01-12,86.37,Dress,Clothing,South,4,0.2,40.62
2022-01-12,100.46,Textbook,Books,North,4,0.2,39.99
2022-01-12,460.8,Protein Powder,Sports,North,10,0,58.11
2022-01-12,575.65,Vacuum,Home & Kitchen,West,9,0.3,119.76
2022-01-12,227.97,Dress,Clothing,South,5,0,67.38
2022-01-12,143.26,Comics,Books,South,8,0.3,42.59
2022-01-13,117.21,Bicycle,Sports,North,2,0,75.42
2022-01-13,207.55,T-Shirt,Clothing,East,7,0.25,59.57
2022-01-13,89.97,Cookbook,Books,West,5,0.25,40.05
2022-01-13,228.76,Yoga Mat,Sports,East,4,0,75.91
2022-01-13,326.18,Jeans,Clothing,North,10,0,46.97
2022-01-13,2775.83,Smart Watch,Electronics,South,8,0.15,647.71
2022-01-13,207.8,Protein Powder,Sports,North,3,0,96.67
2022-01-13,562.22,Lamp,Home & Kitchen,West,7,0.05,138.38
2022-01-13,627.84,T-Shirt,Clothing,East,10,0,94.0
2022-01-14,181.33,Coffee Maker,Home & Kitchen,Central,6,0.2,49.21
2022-01-14,2636.96,Headphones,Electronics,East,8,0.2,651.95
2022-01-14,457.92,Protein Powder,Sports,East,10,0.3,86.34
2022-01-14,90.17,Textbook,Books,Central,5,0.05,24.67
2022-01-14,1438.34,Tablet,Electronics,West,4,0.2,675.26
2022-01-14,102.5,Cookbook,Books,South,8,0.1,21.36
2022-01-14,176.46,Protein Powder,Sports,East,9,0.05,33.67
2022-01-14,73.85,Textbook,Books,Central,4,0.25,35.72
2022-01-14,1223.56,Laptop,Electronics,East,4,0.05,488.38
2022-01-15,406.89,Vacuum,Home & Kitchen,Central,9,0.3,81.0
2022-01-15,82.62,Cookbook,Books,East,5,0.05,21.92
2022-01-15,111.16,Protein Powder,Sports,South,4,0.25,47.28
2022-01-15,366.03,Bicycle,Sports,Central,5,0.05,97.71
2022-01-15,90.82,Blender,Home & Kitchen,East,1,0,115.97
2022-01-15,1022.85,Smart Watch,Electronics,East,3,0.25,614.45
2022-01-15,2732.99,Smart Watch,Electronics,East,8,0.15,528.51
2022-01-15,957.16,Tablet,Electronics,West,2,0.2,713.94
2022-01-15,85.09,Protein Powder,Sports,North,3,0.1,42.85
2022-01-15,481.72,T-Shirt,Clothing,Central,7,0.05,79.65
2022-01-15,129.08,Textbook,Books,West,5,0.2,40.8
2022-01-15,158.22,Yoga Mat,Sports,Central,2,0.05,95.54
2022-01-16,1217.98,Smartphone,Electronics,South,3,0,568.08
2022-01-16,141.92,Comics,Books,Central,8,0.05,23.74
2022-01-16,187.24,Pillow,Home & Kitchen,West,2,0.1,113.99
2022-01-16,236.72,Protein Powder,Sports,South,7,0.05,40.58
2022-01-16,49.71,Blender,Home & Kitchen,North,1,0.1,63.93
2022-01-16,102.45,Tennis Racket,Sports,West,2,0.1,63.93
2022-01-16,675.61,Lamp,Home & Kitchen,Central,8,0,90.02
2022-01-17,77.45,Tennis Racket,Sports,North,2,0,48.11
2022-01-17,165.06,Lamp,Home & Kitchen,North,3,0.25,93.17
2022-01-17,423.97,Sneakers,Clothing,West,8,0.25,105.77
2022-01-17,117.49,Air Fryer,Home & Kitchen,North,3,0.25,79.66
2022-01-17,84.19,Biography,Books,North,8,0.1,17.64
2022-01-17,164.78,Biography,Books,North,9,0,28.86
2022-01-17,598.54,Lamp,Home & Kitchen,West,8,0.05,120.96
2022-01-17,253.0,Jacket,Clothing,West,8,0.05,44.74
2022-01-18,189.62,Yoga Mat,Sports,Central,7,0,39.15
2022-01-18,3909.47,Camera,Electronics,South,8,0.1,773.63
2022-01-18,250.05,Vacuum,Home & Kitchen,West,8,0.3,71.4
2022-01-18,200.8,Sneakers,Clothing,Central,3,0.1,98.21
2022-01-18,133.27,Cookbook,Books,Central,5,0.1,39.62
2022-01-18,93.82,Bicycle,Sports,West,3,0.25,62.47
2022-01-18,575.68,Bicycle,Sports,West,8,0.05,94.57
2022-01-19,139.98,Running Shoes,Sports,South,7,0.25,35.88
2022-01-19,246.23,Textbook,Books,South,8,0,43.94
2022-01-19,142.07,Tennis Racket,Sports,North,8,0.25,39.58
2022-01-19,83.69,Dress,Clothing,South,2,0.1,69.8
2022-01-19,114.98,Comics,Books,North,6,0.3,40.57
2022-01-19,298.34,Pillow,Home & Kitchen,West,9,0,51.45
2022-01-20,512.74,Hoodie,Clothing,North,7,0,106.44
2022-01-20,450.37,Coffee Maker,Home & Kitchen,North,6,0.1,124.43
2022-01-20,155.3,Science Book,Books,South,9,0,27.36
2022-01-20,3769.58,Smart Watch,Electronics,West,10,0.25,638.89
2022-01-20,270.75,Jeans,Clothing,West,5,0,69.09
2022-01-20,35.23,Cookbook,Books,Central,3,0.15,17.22
2022-01-20,263.25,Pillow,Home & Kitchen,West,5,0.1,91.86
2022-01-21,162.79,Fiction Novel,Books,South,7,0.1,32.16
2022-01-21,191.76,Coffee Maker,Home & Kitchen,West,5,0,48.78
2022-01-21,270.39,Cookbook,Books,South,10,0.05,39.06
2022-01-21,122.24,Tennis Racket,Sports,South,2,0,92.62
2022-01-21,174.36,Fiction Novel,Books,Central,6,0,36.97
2022-01-21,110.07,Pillow,Home & Kitchen,West,3,0.3,67.28
2022-01-21,452.33,Lamp,Home & Kitchen,Central,5,0.1,127.73
2022-01-21,36.29,Cookbook,Books,East,2,0,29.05
2022-01-21,268.38,Hoodie,Clothing,West,9,0.2,62.34
2022-01-22,1845.14,Headphones,Electronics,East,5,0.15,585.66
2022-01-22,555.76,Dress,Clothing,North,10,0.3,99.66
2022-01-22,587.77,Dumbbells,Sports,North,8,0.1,93.02
2022-01-22,242.13,Smartphone,Electronics,North,1,0.25,434.36
2022-01-22,275.75,Sneakers,Clothing,South,7,0.3,68.66
2022-01-22,417.73,Dress,Clothing,North,8,0.1,80.33
2022-01-22,699.79,Blender,Home & Kitchen,West,8,0.15,139.25
2022-01-22,78.47,Lamp,Home & Kitchen,East,1,0.05,86.22
2022-01-22,402.59,Fiction Novel,Books,South,10,0,44.13
2022-01-22,87.83,Jeans,Clothing,Central,4,0.3,40.94
2022-01-22,218.18,Jeans,Clothing,East,3,0,92.78
2022-01-23,98.43,Sneakers,Clothing,East,3,0,43.91
2022-01-23,194.42,Blender,Home & Kitchen,Central,6,0.1,49.51
2022-01-23,41.99,Biography,Books,North,2,0.15,29.29
2022-01-23,2801.33,Headphones,Electronics,Central,4,0,780.52
2022-01-23,25.75,Tennis Racket,Sports,West,1,0.25,37.01
2022-01-24,928.38,Headphones,Electronics,West,2,0.15,755.6
2022-01-24,3188.93,Smartphone,Electronics,East,10,0.3,611.86
2022-01-24,70.48,Biography,Books,Central,5,0.2,28.61
2022-01-24,1301.42,Camera,Electronics,Central,4,0.05,502.24
2022-01-24,30.45,Textbook,Books,West,2,0.15,24.38
2022-01-24,69.77,Blender,Home & Kitchen,West,2,0,56.76
2022-01-24,854.06,Camera,Electronics,East,3,0.3,570.44
2022-01-24,4128.65,Headphones,Electronics,East,7,0,738.77
2022-01-24,84.82,Tennis Racket,Sports,East,2,0.05,71.14
2022-01-25,362.02,T-Shirt,Clothing,East,9,0.1,62.46
2022-01-25,148.18,Biography,Books,Central,10,0.3,35.25
2022-01-25,409.69,Coffee Maker,Home & Kitchen,South,5,0.1,115.46
2022-01-25,149.77,Coffee Maker,Home & Kitchen,South,3,0.2,102.37
2022-01-25,946.17,Laptop,Electronics,Central,4,0.25,473.14
2022-01-25,660.56,Air Fryer,Home & Kitchen,East,10,0,105.24
2022-01-25,173.55,Yoga Mat,Sports,North,5,0.2,62.25
2022-01-25,100.52,Textbook,Books,East,4,0,37.65
2022-01-25,2413.73,Tablet,Electronics,Central,8,0.1,554.54
2022-01-25,15.18,Biography,Books,North,1,0.05,21.13
2022-01-26,48.4,Air Fryer,Home & Kitchen,North,1,0.2,95.75
2022-01-26,148.24,Biography,Books,South,9,0.15,31.76
2022-01-26,3735.99,Headphones,Electronics,North,8,0.15,767.43
2022-01-26,161.97,Running Shoes,Sports,West,5,0,40.6
2022-01-26,164.17,Sneakers,Clothing,West,6,0,42.35
2022-01-26,79.98,Running Shoes,Sports,Central,2,0.1,59.12
2022-01-26,102.79,Jacket,Clothing,South,2,0,72.75
2022-01-27,132.59,Air Fryer,Home & Kitchen,South,4,0.1,57.87
2022-01-27,149.24,Dumbbells,Sports,North,3,0.25,95.79
2022-01-27,497.92,Bicycle,Sports,West,10,0.15,75.44
2022-01-27,127.62,Blender,Home & Kitchen,West,2,0.1,93.02
2022-01-27,176.49,Yoga Mat,Sports,East,9,0.25,37.9
2022-01-27,895.23,Tablet,Electronics,East,2,0,618.12
2022-01-28,270.72,Textbook,Books,Central,9,0,43.63
2022-01-28,191.96,Protein Powder,Sports,South,6,0.3,72.93
2022-01-28,3366.65,Headphones,Electronics,North,6,0,800.49
2022-01-28,423.68,T-Shirt,Clothing,South,8,0.3,107.35
2022-01-28,200.27,Jacket,Clothing,East,5,0.15,63.89
2022-01-28,462.57,Camera,Electronics,East,2,0.3,448.03
2022-01-28,189.0,Air Fryer,Home & Kitchen,Central,3,0,80.0
2022-01-28,208.14,Pillow,Home & Kitchen,West,3,0,105.12
2022-01-28,45.3,Comics,Books,East,3,0.3,35.1
2022-01-28,20.57,Biography,Books,East,1,0,25.88
2022-01-28,352.05,Vacuum,Home & Kitchen,South,4,0,144.0
2022-01-29,66.3,Bicycle,Sports,Central,1,0,76.69
2022-01-29,844.23,Jeans,Clothing,South,10,0,94.25
2022-01-29,2581.49,Headphones,Electronics,East,4,0.1,793.58
2022-01-29,68.6,Science Book,Books,Central,4,0.25,24.28
2022-01-30,604.94,Pillow,Home & Kitchen,Central,8,0.1,92.32
2022-01-30,243.52,Bicycle,Sports,West,3,0,86.91
2022-01-30,3052.05,Camera,Electronics,West,6,0,569.45
2022-01-30,124.14,Yoga Mat,Sports,East,2,0.1,83.37
2022-01-30,166.83,Dumbbells,Sports,West,2,0.05,95.46
2022-01-30,56.58,Coffee Maker,Home & Kitchen,West,1,0.15,86.06
2022-01-31,533.24,Blender,Home & Kitchen,North,6,0.15,137.36
2022-01-31,519.72,T-Shirt,Clothing,East,8,0,86.12
2022-01-31,27.36,Textbook,Books,Central,1,0,42.18
2022-01-31,347.22,Sneakers,Clothing,Central,9,0.1,66.47
2022-02-01,4267.83,Smartphone,Electronics,West,10,0,516.84
2022-02-01,25.78,Biography,Books,Central,1,0.05,33.96
2022-02-01,445.14,Vacuum,Home & Kitchen,North,10,0.2,81.87
2022-02-01,825.89,Smart Watch,Electronics,East,2,0.3,784.84
2022-02-02,197.02,Yoga Mat,Sports,West,8,0.2,35.87
2022-02-02,436.41,Pillow,Home & Kitchen,North,6,0.15,123.7
2022-02-02,440.53,Smart Watch,Electronics,East,3,0.3,293.94
2022-02-02,424.8,Hoodie,Clothing,West,8,0,81.48
2022-02-02,51.86,Fiction Novel,Books,East,4,0.05,16.31
2022-02-02,521.19,Air Fryer,Home & Kitchen,Central,7,0.3,142.96
2022-02-02,1925.83,Camera,Electronics,South,5,0,462.77
2022-02-02,347.46,Air Fryer,Home & Kitchen,North,6,0.2,89.95
2022-02-02,205.59,Cookbook,Books,South,8,0.15,35.76
2022-02-02,203.34,Tennis Racket,Sports,North,7,0,38.21
2022-02-02,444.05,Coffee Maker,Home & Kitchen,North,6,0.1,111.45
2022-02-03,269.81,Hoodie,Clothing,West,6,0.15,68.19
2022-02-03,40.44,Cookbook,Books,North,2,0.2,35.14
2022-02-03,410.53,T-Shirt,Clothing,South,10,0.25,84.82
2022-02-03,2212.97,Smartphone,Electronics,East,6,0,476.74
2022-02-03,229.35,Cookbook,Books,East,8,0,37.89
2022-02-03,140.75,Cookbook,Books,East,4,0,43.82
2022-02-03,119.46,Biography,Books,West,9,0.1,18.53
2022-02-03,334.47,Sneakers,Clothing,East,8,0,50.41
2022-02-03,52.66,Science Book,Books,West,2,0.15,39.32
2022-02-04,363.93,Bicycle,Sports,East,5,0,89.19
2022-02-04,264.22,Dumbbells,Sports,North,4,0.05,85.28
2022-02-04,2189.75,Tablet,Electronics,Central,10,0.3,469.21
2022-02-04,3213.09,Laptop,Electronics,East,7,0.25,809.78
2022-02-05,302.2,Yoga Mat,Sports,South,6,0.25,75.39
2022-02-05,658.32,Tennis Racket,Sports,South,9,0,75.23
2022-02-05,54.11,Dress,Clothing,Central,1,0.3,95.86
2022-02-05,171.68,Jeans,Clothing,East,4,0.3,60.91
2022-02-05,3153.33,Tablet,Electronics,South,9,0.1,418.2
2022-02-05,6315.14,Smart Watch,Electronics,South,10,0,778.47
2022-02-05,525.18,Protein Powder,Sports,Central,6,0,88.61
2022-02-05,3813.12,Laptop,Electronics,North,10,0.05,412.91
2022-02-05,196.77,Biography,Books,North,8,0.3,41.67
2022-02-06,115.54,Science Book,Books,West,5,0,28.61
2022-02-06,85.65,Textbook,Books,West,4,0,25.21
2022-02-06,325.7,Pillow,Home & Kitchen,East,7,0.15,60.55
2022-02-06,1677.99,Tablet,Electronics,South,8,0.25,336.16
2022-02-06,3432.34,Laptop,Electronics,East,7,0.2,736.65
2022-02-06,268.08,Jacket,Clothing,Central,6,0,49.67
2022-02-06,335.8,Running Shoes,Sports,West,5,0,65.83
2022-02-07,179.34,Science Book,Books,South,10,0,25.59
2022-02-07,251.26,Protein Powder,Sports,West,5,0,68.42
2022-02-07,302.13,Pillow,Home & Kitchen,East,7,0.2,83.13
2022-02-07,281.43,Dumbbells,Sports,East,9,0.2,52.05
2022-02-07,296.55,Tennis Racket,Sports,Central,10,0,40.84
2022-02-07,102.57,Lamp,Home & Kitchen,East,3,0.3,67.11
2022-02-07,1112.3,Laptop,Electronics,North,3,0.25,655.34
2022-02-07,102.46,Sneakers,Clothing,Central,3,0.15,59.61
2022-02-07,292.61,Protein Powder,Sports,East,10,0.3,55.2
2022-02-07,49.17,Tennis Racket,Sports,West,1,0,57.31
2022-02-07,488.72,Tennis Racket,Sports,North,10,0.05,64.32
2022-02-08,205.2,Science Book,Books,Central,10,0.2,38.24
2022-02-08,52.83,T-Shirt,Clothing,Central,2,0.25,49.74
2022-02-08,315.78,Dress,Clothing,South,7,0.25,72.13
2022-02-08,2518.99,Camera,Electronics,South,9,0.15,381.96
2022-02-08,165.72,Biography,Books,West,6,0.25,43.7
2022-02-08,431.74,Lamp,Home & Kitchen,East,5,0.05,106.57
2022-02-08,404.02,Lamp,Home & Kitchen,East,4,0.1,138.38
2022-02-08,251.15,Hoodie,Clothing,West,6,0.3,70.55
2022-02-08,758.23,Air Fryer,Home & Kitchen,North,10,0.2,112.96
2022-02-08,58.16,Cookbook,Books,South,5,0,16.26
2022-02-08,83.79,Comics,Books,East,8,0.3,21.42
2022-02-08,79.31,Protein Powder,Sports,East,3,0.05,40.21
2022-02-09,29.34,Hoodie,Clothing,South,1,0.15,43.21
2022-02-09,576.57,Camera,Electronics,South,1,0,790.84
2022-02-09,103.71,Textbook,Books,South,5,0,24.64
2022-02-09,1884.83,Camera,Electronics,Central,4,0,558.98
2022-02-09,70.27,Dress,Clothing,South,1,0.2,107.8
2022-02-09,31.04,Hoodie,Clothing,East,1,0,36.67
2022-02-09,733.63,Air Fryer,Home & Kitchen,West,9,0,98.33
2022-02-09,29.28,Cookbook,Books,South,2,0.25,24.92
2022-02-09,247.22,T-Shirt,Clothing,East,5,0.05,76.88
2022-02-09,71.71,Textbook,Books,Central,6,0,17.6
2022-02-09,80.63,Dress,Clothing,East,4,0.2,36.49
2022-02-10,331.11,Air Fryer,Home & Kitchen,Central,10,0.15,49.1
2022-02-10,2208.0,Camera,Electronics,North,8,0.2,435.68
2022-02-10,271.69,Pillow,Home & Kitchen,North,5,0.05,83.28
2022-02-10,446.62,Dress,Clothing,South,8,0.15,89.84
2022-02-10,251.75,Running Shoes,Sports,Central,4,0,83.28
2022-02-10,121.86,Protein Powder,Sports,East,2,0,93.54
2022-02-10,486.69,Bicycle,Sports,South,10,0,68.42
2022-02-11,153.17,Fiction Novel,Books,South,10,0.3,29.66
2022-02-11,3395.58,Headphones,Electronics,South,9,0,494.33
2022-02-11,408.3,Pillow,Home & Kitchen,North,7,0,72.43
2022-02-11,296.25,Yoga Mat,Sports,North,7,0,55.74
2022-02-11,344.49,Laptop,Electronics,West,1,0,425.03
2022-02-11,189.87,Cookbook,Books,West,8,0.2,41.09
2022-02-11,45.51,Dumbbells,Sports,East,2,0.3,44.78
2022-02-11,60.37,Hoodie,Clothing,South,1,0.1,90.44
2022-02-11,430.46,Running Shoes,Sports,Central,7,0.05,87.34
2022-02-11,47.57,Jacket,Clothing,South,2,0.2,38.32
2022-02-11,478.9,Smartphone,Electronics,South,2,0,324.48
2022-02-12,272.87,Hoodie,Clothing,North,7,0.3,67.61
2022-02-12,1551.67,Smartphone,Electronics,Central,5,0.15,396.45
2022-02-12,247.01,Blender,Home & Kitchen,East,3,0.3,142.63
2022-02-13,1237.11,Coffee Maker,Home & Kitchen,Central,10,0,132.45
2022-02-13,34.53,Biography,Books,West,1,0.2,44.17
2022-02-13,284.31,Pillow,Home & Kitchen,West,7,0.2,62.32
2022-02-13,207.71,Running Shoes,Sports,South,4,0,52.85
2022-02-13,3476.46,Smart Watch,Electronics,West,7,0,570.93
2022-02-13,183.35,Blender,Home & Kitchen,East,2,0.15,136.53
2022-02-13,592.02,T-Shirt,Clothing,East,7,0,84.5
2022-02-14,155.1,Protein Powder,Sports,Central,4,0.15,64.64
2022-02-14,851.65,Smartphone,Electronics,South,2,0.25,673.31
2022-02-14,324.88,Protein Powder,Sports,South,7,0.3,93.4
2022-02-14,622.03,Vacuum,Home & Kitchen,West,9,0.1,110.28
2022-02-14,104.33,Running Shoes,Sports,West,2,0.25,85.99
2022-02-14,402.24,Blender,Home & Kitchen,East,6,0.05,87.74
2022-02-15,708.12,Lamp,Home & Kitchen,Central,10,0.1,117.12
2022-02-15,730.94,Blender,Home & Kitchen,West,10,0.25,128.0
2022-02-15,423.75,Air Fryer,Home & Kitchen,West,8,0.15,92.24
2022-02-16,26.12,Science Book,Books,Central,1,0,30.72
2022-02-16,1348.78,Laptop,Electronics,West,3,0.05,724.97
2022-02-16,481.03,T-Shirt,Clothing,South,9,0,68.83
2022-02-16,17.09,Running Shoes,Sports,West,1,0.3,33.44
2022-02-16,5389.0,Smart Watch,Electronics,East,9,0,797.84
2022-02-16,39.74,Science Book,Books,North,2,0.05,30.73
2022-02-16,308.31,Tennis Racket,Sports,East,5,0,85.47
2022-02-16,119.78,Textbook,Books,Central,4,0.05,44.71
2022-02-16,595.89,Camera,Electronics,North,2,0.2,488.85
2022-02-16,590.99,Camera,Electronics,North,3,0.2,314.65
2022-02-16,798.0,Lamp,Home & Kitchen,North,9,0.05,136.24
2022-02-17,53.71,Cookbook,Books,North,2,0.1,35.53
2022-02-17,154.14,Protein Powder,Sports,North,3,0.15,94.3
2022-02-17,436.88,Sneakers,Clothing,South,7,0.1,102.88
2022-02-17,439.41,Sneakers,Clothing,West,9,0,59.88
2022-02-17,253.32,Smart Watch,Electronics,East,1,0.05,322.75
2022-02-17,471.32,Lamp,Home & Kitchen,Central,10,0.15,86.08
2022-02-17,193.15,Vacuum,Home & Kitchen,West,4,0.2,82.16
2022-02-17,123.48,Protein Powder,Sports,West,2,0.1,83.96
2022-02-17,1146.07,Laptop,Electronics,East,3,0,475.2
2022-02-17,64.39,Air Fryer,Home & Kitchen,North,2,0.1,48.5
2022-02-17,75.51,Coffee Maker,Home & Kitchen,South,2,0.25,65.99
2022-02-17,17.93,Running Shoes,Sports,North,1,0.3,38.91
2022-02-18,351.18,Vacuum,Home & Kitchen,North,5,0,87.73
2022-02-18,214.97,Dumbbells,Sports,Central,9,0.2,44.19
2022-02-18,364.77,Air Fryer,Home & Kitchen,East,8,0,62.01
2022-02-18,39.25,Cookbook,Books,West,2,0.05,25.83
2022-02-18,81.17,Biography,Books,Central,4,0,28.74
2022-02-18,171.44,Cookbook,Books,Central,7,0.15,39.12
2022-02-18,51.0,Comics,Books,Central,3,0.05,24.01
2022-02-18,285.15,Dress,Clothing,East,5,0.25,88.91
2022-02-18,272.85,Jacket,Clothing,West,5,0.2,94.79
2022-02-18,181.96,Dumbbells,Sports,Central,9,0.3,44.88
2022-02-18,255.93,Comics,Books,South,8,0,38.93
2022-02-18,67.28,Comics,Books,West,3,0.05,34.0
2022-02-19,247.45,Textbook,Books,North,8,0.25,44.72
2022-02-19,258.69,Bicycle,Sports,West,9,0.15,35.43
2022-02-19,115.31,Bicycle,Sports,North,2,0.15,83.75
2022-02-19,590.85,Yoga Mat,Sports,Central,7,0.15,96.81
2022-02-19,30.8,Fiction Novel,Books,North,2,0.3,22.76
2022-02-20,177.78,Protein Powder,Sports,Central,4,0.2,62.42
2022-02-20,149.8,Protein Powder,Sports,Central,3,0,55.77
2022-02-20,219.59,Vacuum,Home & Kitchen,North,2,0,127.81
2022-02-20,504.04,Vacuum,Home & Kitchen,South,9,0.25,94.36
2022-02-20,63.0,Cookbook,Books,North,5,0,16.34
2022-02-20,353.79,Pillow,Home & Kitchen,North,3,0.05,137.27
2022-02-20,341.55,Dumbbells,Sports,East,9,0.25,61.14
2022-02-20,71.58,Comics,Books,South,3,0.2,34.21
2022-02-20,586.06,Dumbbells,Sports,West,10,0,61.35
2022-02-20,247.34,Jacket,Clothing,North,10,0.3,43.33
2022-02-20,99.63,Blender,Home & Kitchen,West,2,0.25,73.19
2022-02-21,305.92,Running Shoes,Sports,Central,7,0.15,71.74
2022-02-21,167.84,Biography,Books,South,5,0,42.56
2022-02-21,199.75,Coffee Maker,Home & Kitchen,South,5,0.15,59.23
2022-02-21,246.77,Running Shoes,Sports,West,10,0.2,42.1
2022-02-21,50.03,Comics,Books,Central,3,0.25,31.65
2022-02-21,288.55,Jacket,Clothing,West,10,0.15,39.86
2022-02-21,168.78,Science Book,Books,South,7,0.3,43.91
2022-02-21,142.45,Comics,Books,West,7,0.25,36.3
2022-02-22,126.67,Yoga Mat,Sports,South,5,0.05,35.16
2022-02-22,463.37,Dress,Clothing,Central,8,0,75.58
2022-02-22,923.9,Lamp,Home & Kitchen,East,9,0,126.97
2022-02-22,84.65,Biography,Books,South,7,0.05,18.07
2022-02-23,45.75,Cookbook,Books,East,2,0,28.17
2022-02-23,317.45,Jeans,Clothing,Central,6,0.2,98.0
2022-02-23,37.79,Jeans,Clothing,South,1,0.3,77.05
2022-02-24,232.29,Jacket,Clothing,East,5,0.3,77.24
2022-02-24,640.98,Smartphone,Electronics,West,1,0,805.94
2022-02-24,343.25,Jeans,Clothing,South,6,0.2,95.65
2022-02-24,315.4,Protein Powder,Sports,East,7,0,57.76
